Time,discription,T1_comp_in,T2_comp_out,T3_cond_in,T4_cond_out,T5_exv_in,T6_exv_out,T7_evap_out,T10_ballvalve_in,T11_ballvalve_out,T12_HGB_out,T13_after_bypass,T14_after_sightglass,T15_ballvalve2_in,T16_comp_shell_top,T17_comp_shell_bottom,Free,T20_evap_in,T21_evap_in,T22_evap_in,T23_evap_in,T24_evap_in,T25_evap_in,Free,T40_evap_air_in,T41_evap_air_in,T42_evap_air_in,T43_evap_air_in,T44_evap_air_in,T45_evap_air_in,T46_evap_air_in,T47_evap_air_in,T48_evap_air_in,T_average_evap_air_in,T27_evap_out,T28_evap_out,T29_evap_out,T30_evap_out,T31_evap_out,T32_evap_out,Free,T50_evap_air_out,T51_evap_air_out,T52_evap_air_out,T53_evap_air_out,T54_evap_air_out,T55_evap_air_out,T56_evap_air_out,T57_evap_air_out,T58_evap_air_out,T_average_evap_air_out,T60_cond_air_in,T61_cond_air_in,T62_cond_air_in,T63_cond_air_in,T64_cond_air_in,T65_cond_air_in,T66_cond_air_in,T67_cond_air_in,T68_cond_air_in,T_average_cond_air_in,Free,Free,Free,Free,Free,Free,Free,T64_cond_air_out,T65_cond_air_out,T66_cond_air_out,T67_cond_air_out,T68_cond_air_out,T69_cond_air_out,T70_cond_air_out,T71_cond_air_out,T72_cond_air_out,T_average_cond_air_out,Free,Free,Free,Free,Free,T80_evap_new_grid,T81_evap_new_grid,T82_evap_new_grid,T83_evap_new_grid,T84_evap_new_grid,T85_evap_new_grid,T86_evap_new_grid,T87_evap_new_grid,T88_evap_new_grid,T89_evap_new_grid,T90_evap_new_grid,T91_evap_new_grid,T92_evap_new_grid,T93_evap_new_grid,T94_evap_new_grid,T95_evap_new_grid,T96_evap_new_grid,T97_evap_new_grid,T_average_evap_new_grid,Air_pressure_out,PT_total_power,Free,Free,Free,Free,Free,Free,T_dp_chilled_mirror_out,Free,m_R,T_dp_chilled_mirror_in,PT_fan_evap,PT_fan_cond,Free,Free,VLN_avg,VLL_avg,kWH,AMP_avg,WL2-N,WL3-N,Hzsys,PFSYS,PT_comp_power,AL1,AL2,AL,WL1-N,N/A,N/A,N/A,N/A ,N/A,P1_comp_in,P2_comp_out,P3_cond_out,P4_MM_out,P5_exv_in,P6_exv_out,P7_evap_in,P8_evap_out,Q_nozzle_apx,T_nozzle_in,P_atm,P_nozzle_in ,P_nozzle_out,dP_nozzle,T_room_1155,RH_room_1155,T_room_1151,RH_room_1151
[dd.mm.yyyy HH:MM:SS],[-],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[-],[C],[C],[C],[C],[C],[C],[-],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[-],[C],[C],[C],[C],[C] ,[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[-],[-],[-],[-],[-],[-],[-],[C],[C],[C],[C],[C] ,[C] ,[C],[C],[C],[C],[-],[-],[-],[-],[-],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[C],[inH2O],[kW],[-],[-],[-],[-],[-],[-],[C],[-],[g/s],[C],[kW],[kW],[-],[-],[V],[V],[KW-h],[A],[V],[V],[Hz],[-],[kW],[A],[A],[A],[V],[-],[-],[-],[-],[-],[kPa],[kPa],[kPa],[kPa],[kPa],[kPa],[kPa],[kPa],[cfm],[C],[kPa],[kPa],[kPa],[kPa],[C],[-],[C],[-]
04.01.2016 13:34:46,,18.234826,85.395103,83.374462,40.802022,40.656582,12.811307,13.950719,69.719804,52.844809,46.774949,46.042516,40.539669,45.10695,80.436531,46.893056,0,12.166177,11.838786,13.412354,12.51203,10.957711,11.245472,0,28.2203,28.362231,28.467546,28.512935,28.555631,28.444582,28.375867,28.260853,28.497686,28.410848,22.29554,23.113044,22.236377,21.274177,20.124299,15.994835,33.600987,16.444988,16.961472,16.666369,16.178038,16.03692,16.269628,16.296469,16.311159,16.970897,16.39563,33.554183,32.782374,32.449481,33.253845,32.403706,32.436428,33.600987,33.236334,32.846189,32.951503,0,0,0,0,0,0,0,44.775477,40.491603,43.569222,43.437351,42.990239,39.538831,42.697637,40.113849,42.060778,42.18611,0,0,0,0,0,15.84507,16.699993,15.353282,16.028661,16.534103,15.990204,15.058464,15.457828,14.840385,14.926096,15.077346,14.67112,13.878563,14.027235,13.900192,12.2549,12.791722,12.948733,14.79355,1.133772,7.656672,0,0,0,0,0,0,11.569639,0,120.768425,15.06798,0.774299,1.035213,0,0,120,207.7,88.22,18.175,7.779,7.484,60.02,0.88,5.8225,18.575,18.425,17.55,8.024,0,0,0,0,0,457.21,2043.51,1968.38,1959.74,1938.51,697.02,491.95,463.25,1686.44789,18.720128,101.320749,101.320749,0.038034,0.240314,26.772434,0.50964,34.923226,0.400499
04.01.2016 13:34:54,,18.194677,85.258018,83.271093,40.820595,40.715231,12.76951,13.97247,69.714337,52.840033,46.786742,46.042059,40.577295,45.112637,80.433634,46.905284,0,12.180357,11.830571,13.438156,12.510736,10.942016,11.237617,0,28.170215,28.30946,28.422316,28.481879,28.539466,28.370465,28.395045,28.288108,28.549153,28.39179,22.299038,23.114737,22.219312,21.274068,20.114611,15.995088,33.786191,16.471715,16.922938,16.627099,16.223815,16.055494,16.251926,16.274959,16.313225,16.9552,16.392646,32.895672,32.417803,32.318737,33.354056,32.443551,32.481994,33.786191,33.159822,32.528124,32.820661,0,0,0,0,0,0,0,44.658131,40.512983,43.310492,43.478003,43.079132,39.586717,42.631011,40.192633,41.99199,42.160121,0,0,0,0,0,15.82795,16.749419,15.322722,15.959481,16.509561,15.97218,15.013008,15.485532,14.913321,14.906239,14.966343,14.604214,13.81197,13.997365,13.917576,12.320915,12.737562,12.970444,14.776989,1.015652,7.647344,0,0,0,0,0,0,11.583965,0,120.561796,15.08783,0.77461,1.039705,0,0,120.1,207.7,88.27,18.175,7.777,7.482,60.01,0.88,5.82025,18.575,18.425,17.55,8.024,0,0,0,0,0,456.46,2042.64,1967.97,1959.54,1938.06,698.15,490.65,462.42,1689.659037,18.712156,101.320749,101.320749,0.040663,0.241231,26.763927,0.506084,34.92321,0.399285
04.01.2016 13:34:58,,18.149905,85.21069,83.264338,40.797355,40.694864,12.79697,13.890529,69.711613,52.838736,46.777118,46.034392,40.579288,45.113296,80.419649,46.914468,0,12.179639,11.825482,13.464532,12.510018,10.950228,11.241635,0,28.225315,28.37478,28.459284,28.495882,28.548087,28.420352,28.421429,28.291886,28.564411,28.422381,22.289854,23.110607,22.208142,21.261084,20.106312,15.984399,33.477568,16.474087,16.87474,16.629289,16.22256,16.029206,16.247407,16.244868,16.290389,16.910084,16.376568,33.344998,32.80814,32.278913,33.634417,33.317125,32.397294,33.477568,33.125566,32.458268,32.982477,0,0,0,0,0,0,0,44.74065,40.600381,43.312083,43.520006,42.997743,39.680934,42.615931,40.297644,41.959513,42.191654,0,0,0,0,0,15.799075,16.765344,15.319428,15.937685,16.533649,15.976325,14.977029,15.487138,14.991192,14.937263,14.99791,14.573308,13.885378,13.901373,13.894466,12.273922,12.767399,12.942242,14.775563,1.07244,7.642519,0,0,0,0,0,0,11.582457,0,120.662209,15.028395,0.778599,1.041606,0,0,120,207.7,88.3,18.175,7.768,7.478,59.99,0.88,5.81575,18.525,18.4,17.525,8.01,0,0,0,0,0,456.5,2039.19,1963.43,1953.5,1930.59,696.92,491.44,462.55,1685.385109,18.724169,101.320749,101.320749,0.037837,0.240014,26.760764,0.506092,34.92021,0.399302
04.01.2016 13:35:02,,18.152936,85.169696,83.215022,40.602552,40.703291,12.748635,13.814911,69.703035,52.858856,46.771226,46.046892,40.597681,45.112871,80.39457,46.915357,0,12.181521,11.816802,13.471503,12.506258,10.938443,11.2386,0,28.226452,28.356361,28.432972,28.475312,28.540613,28.429742,28.419157,28.304328,28.533976,28.413213,22.285372,23.108111,22.194461,21.256238,20.092425,15.976264,33.557464,16.465048,16.866067,16.60321,16.210437,16.018169,16.295314,16.256322,16.277722,16.934944,16.374036,32.98281,32.405202,32.157162,33.282858,32.38893,32.286464,33.557464,32.811398,32.39787,32.696684,0,0,0,0,0,0,0,44.641982,40.531069,43.275358,43.429224,42.851598,39.604461,42.590182,40.261189,41.918312,42.122597,0,0,0,0,0,15.747197,16.708255,15.306191,15.97126,16.453881,15.969446,14.978677,15.527624,14.963425,14.905681,14.949261,14.60402,13.819047,13.935194,13.903931,12.294871,12.780832,12.964042,14.765713,1.080373,7.627096,0,0,0,0,0,0,11.580277,0,120.477808,15.017872,0.775058,1.044976,0,0,120,207.7,88.32,18.1,7.747,7.446,60.04,0.88,5.79475,18.5,18.35,17.475,7.987,0,0,0,0,0,455.88,2034.42,1960.15,1951.83,1930.7,696.91,490.5,461.5,1684.169092,18.731367,101.320749,101.320749,0.038383,0.239662,26.774008,0.506143,34.921554,0.399329
04.01.2016 13:35:06,,18.109946,85.14862,83.1775,40.608685,40.72182,12.736828,13.944087,69.697104,52.841063,46.776847,46.028206,40.601157,45.11039,80.374762,46.908949,0,12.173779,11.815613,13.481408,12.499792,10.937253,11.228664,0,28.249326,28.392509,28.456739,28.475397,28.526705,28.438798,28.406504,28.302259,28.527064,28.419478,22.277269,23.104519,22.193392,21.256612,20.087377,15.971198,33.524497,16.497156,16.8949,16.619903,16.186146,16.013647,16.257786,16.244909,16.274471,16.937313,16.373615,33.420519,32.370952,32.109312,33.688128,32.945895,32.349672,33.524497,32.939461,32.758389,32.900758,0,0,0,0,0,0,0,44.550024,40.223119,43.259004,43.405074,42.844993,39.34092,42.599717,39.90874,41.901587,42.003686,0,0,0,0,0,15.731428,16.701202,15.300944,15.929371,16.42416,15.937898,15.014646,15.560126,14.95291,14.914778,14.972158,14.59768,13.779437,13.838695,13.900859,12.251017,12.773873,12.894501,14.748649,1.067559,7.623729,0,0,0,0,0,0,11.57595,0,120.481676,14.986401,0.769204,1.044064,0,0,120.1,207.7,88.35,18.15,7.764,7.467,60.01,0.88,5.8095,18.525,18.375,17.525,8.001,0,0,0,0,0,456.02,2036.58,1960.28,1950.6,1928.6,696.3,490.14,461.91,1685.550197,18.733395,101.320749,101.320749,0.038856,0.240052,26.665399,0.504964,34.861841,0.399345
04.01.2016 13:35:10,,18.093621,85.096109,83.124815,40.516042,40.68167,12.730875,13.814521,69.663917,52.838823,46.761894,46.016079,40.592884,45.094071,80.341161,46.895093,0,12.145939,11.806704,13.490514,12.488704,10.922321,11.229589,0,28.221348,28.31914,28.431815,28.463032,28.527975,28.380861,28.372429,28.25257,28.49676,28.385103,22.256791,23.089644,22.183736,21.23756,20.074269,15.962394,33.506988,16.418908,16.884654,16.616725,16.158119,16.011737,16.20582,16.249166,16.252794,16.94193,16.34974,33.177868,32.382574,32.15474,33.469114,32.847587,32.292447,33.506988,33.192879,32.551901,32.841789,0,0,0,0,0,0,0,44.587076,40.323905,43.418051,43.393058,42.856203,39.468802,42.514083,40.014172,41.922033,42.055265,0,0,0,0,0,15.710976,16.536451,15.279939,15.901847,16.454313,15.915091,15.009614,15.530778,14.943157,14.862894,14.902118,14.579022,13.789123,13.923267,13.868375,12.243241,12.801569,12.935838,14.732645,1.103885,7.624624,0,0,0,0,0,0,11.575802,0,120.434535,14.995006,0.775705,1.038347,0,0,120.1,207.7,88.37,18.15,7.76,7.467,60.01,0.88,5.80775,18.525,18.4,17.525,8.004,0,0,0,0,0,455.7,2037.98,1962.32,1954.28,1932.51,697.28,490.05,461.36,1682.946792,18.724509,101.320749,101.320749,0.037775,0.239332,26.83,0.50392,34.862251,0.398154
04.01.2016 13:35:14,,18.027527,85.133887,83.138562,40.644065,40.62746,12.744055,13.81081,69.663529,52.831289,46.766301,46.015893,40.586718,45.095421,80.321856,46.891627,0,12.141741,11.789939,13.50196,12.4856,10.91101,11.217006,0,28.187961,28.317156,28.400767,28.463561,28.566894,28.396999,28.378699,28.28755,28.552184,28.394641,22.269625,23.086787,22.186649,21.237226,20.066164,15.959338,33.52161,16.472427,16.858943,16.595721,16.181362,16.015574,16.225253,16.250644,16.279299,16.961713,16.359903,33.503209,32.375751,32.1379,33.513392,32.680239,32.24771,33.52161,33.114936,32.77713,32.874653,0,0,0,0,0,0,0,44.592263,40.533423,43.392399,43.408885,42.873455,39.52628,42.522825,40.099882,41.964318,42.101526,0,0,0,0,0,15.720706,16.475823,15.26426,15.921372,16.461135,15.912483,14.967239,15.572087,14.908951,14.880259,14.699014,14.560971,13.823955,13.913929,13.866308,12.206763,12.80526,12.907873,14.71491,1.022544,7.645229,0,0,0,0,0,0,11.566787,0,120.597497,14.994334,0.775172,1.0394,0,0,120,207.7,88.4,18.15,7.762,7.469,60,0.88,5.809,18.55,18.425,17.55,8.014,0,0,0,0,0,455.71,2044.63,1970.84,1963.23,1943.27,699.22,490.05,461.46,1687.919434,18.719788,101.320749,101.320749,0.038377,0.240741,26.773073,0.502584,34.784704,0.398079
04.01.2016 13:35:18,,18.055164,85.222249,83.219033,40.852611,40.588512,12.81191,13.874292,69.657893,52.83196,46.768949,46.023583,40.576333,45.097858,80.321672,46.892087,0,12.128058,11.776615,13.50684,12.468645,10.901503,11.203128,0,28.15958,28.305824,28.3819,28.494748,28.577988,28.39123,28.387821,28.268502,28.544262,28.390206,22.260538,23.080411,22.173593,21.223617,20.050914,15.941672,33.775813,16.432648,16.845461,16.571539,16.151004,15.999905,16.231533,16.248581,16.253659,16.911076,16.341791,33.939768,33.264698,32.285636,34.03138,33.043106,32.284563,33.775813,33.132105,32.438884,33.132884,0,0,0,0,0,0,0,44.779019,40.359598,43.551145,43.518355,42.918957,39.491717,42.603813,40.039565,41.998141,42.140034,0,0,0,0,0,15.713534,16.317782,15.264709,15.904224,16.396848,15.924724,14.992564,15.517003,14.940451,14.918842,14.816604,14.559604,13.849308,13.867484,13.872392,12.190464,12.757334,12.921445,14.706962,1.055499,7.65927,0,0,0,0,0,0,11.564181,0,120.922175,15.002153,0.777758,1.033398,0,0,120.1,207.7,88.43,18.225,7.799,7.505,60.02,0.88,5.837,18.6,18.475,17.6,8.043,0,0,0,0,0,456.08,2048.73,1973.93,1965.28,1943.34,698.77,490.79,461.96,1690.165669,18.707016,101.320749,101.320749,0.037965,0.241402,26.710508,0.502615,34.860136,0.398148
04.01.2016 13:35:22,,18.046237,85.254588,83.255371,40.970896,40.55342,12.789269,13.830395,69.656746,52.833155,46.758565,46.029176,40.57025,45.096658,80.312935,46.897889,0,12.122864,11.785807,13.520018,12.464727,10.914166,11.21105,0,28.174738,28.354533,28.418944,28.512414,28.548473,28.421994,28.405847,28.277917,28.477252,28.399124,22.254738,23.074615,22.169957,21.221964,20.049802,15.942007,34.039731,16.44078,16.859572,16.597438,16.140818,15.989536,16.196501,16.230235,16.249097,16.927904,16.337997,33.992587,33.07434,32.265207,34.155263,33.405096,32.415418,34.039731,33.203008,32.571154,33.235756,0,0,0,0,0,0,0,44.8218,40.315818,43.559936,43.591129,42.989282,39.491824,42.6174,40.037895,42.004458,42.158838,0,0,0,0,0,15.72463,16.29496,15.264011,15.898627,16.395063,15.903707,14.986055,15.49253,14.919778,14.898532,14.810276,14.791026,13.850971,13.9324,13.866058,12.24802,12.721233,12.911366,14.71718,1.025106,7.666726,0,0,0,0,0,0,11.559755,0,121.011999,14.994482,0.773033,1.038904,0,0,120.1,207.7,88.45,18.25,7.808,7.513,59.99,0.88,5.84475,18.65,18.5,17.625,8.06,0,0,0,0,0,456.49,2054.35,1980.01,1971.22,1950.28,700.85,492.07,462.22,1682.850568,18.703177,101.320749,101.320749,0.035762,0.239326,26.652466,0.503785,34.920112,0.398141
